Current(A),Voltage(V),Capacity_Difference,Cumulative_Cycle_Index
0.0,3.760295152664185,8.418635708551392e-07,851
0.0,3.7729222774505615,8.418635708551392e-07,851
0.0,3.782473564147949,8.418635708551392e-07,851
0.0,3.789920330047608,8.418635708551392e-07,851
0.5501165986061096,3.911658525466919,0.0045869002133445,851
0.5499359965324402,3.932217836380005,0.0091730108500414,851
0.5497553944587708,3.9466257095336914,0.0137591071734251,851
0.5501165986061096,3.9590909481048575,0.0183451625058364,851
0.5499359965324402,3.969613552093506,0.0229312468337559,851
0.5501165986061096,3.9794886112213135,0.0275172652467059,851
0.5499359965324402,3.9885542392730713,0.032103243433557,851
0.5501165986061096,3.99713397026062,0.0366891586154238,851
0.5501165986061096,4.005066394805908,0.0412750958705094,851
0.5501165986061096,4.012351512908936,0.0458611050656037,851
0.5499359965324402,4.019150733947754,0.050447054926189,851
0.5501165986061096,4.025787830352783,0.0550329900773727,851
0.5499359965324402,4.031777858734131,0.0596167158415905,851
0.5499359965324402,4.037605285644531,0.0642025670213817,851
0.5499359965324402,4.04310941696167,0.0687883494824372,851
0.5497553944587708,4.048613548278809,0.0733736331798668,851
0.550297200679779,4.053793907165527,0.0779592673795654,851
0.5497553944587708,4.058650493621826,0.08254422974003,851
0.5497553944587708,4.063183307647705,0.0871294841876997,851
0.5499359965324402,4.068039894104004,0.0917147297121498,851
0.5499359965324402,4.072572708129883,0.0962999441335661,851
0.5501165986061096,4.077105522155762,0.10088603809554,851
0.5501165986061096,4.08147668838501,0.1054721383156769,851
0.5499359965324402,4.0858473777771,0.1100582727384287,851
0.550297200679779,4.090218544006348,0.1146438412107935,851
0.5499359965324402,4.094265460968018,0.1192290652494953,851
0.5499359965324402,4.0987982749938965,0.1238143148676025,851
0.5499359965324402,4.102521896362305,0.128399461892112,851
0.5499359965324402,4.1068925857543945,0.1329846595148831,851
0.5497553944587708,4.110939979553223,0.1375699056333168,851
0.5499359965324402,4.114986896514893,0.1421555486157739,851
0.5501165986061096,4.1190338134765625,0.1467414301932272,851
0.5501165986061096,4.123081207275391,0.1513277258858574,851
0.5499359965324402,4.1271281242370605,0.1559132616976883,851
0.5501165986061096,4.13133716583252,0.1604992189353238,851
0.5499359965324402,4.135222434997559,0.1650853003609205,851
0.5499359965324402,4.139269828796387,0.1696715674738511,851
0.5499359965324402,4.143316745758057,0.1742572931272867,851
0.5499359965324402,4.147525787353516,0.178843228846194,851
0.5501165986061096,4.151734828948975,0.1834291285488705,851
0.5499359965324402,4.155620098114014,0.1880150697815708,851
0.5499359965324402,4.159829139709473,0.1926010121410799,851
0.5501165986061096,4.164038181304932,0.1971869835697699,851
0.5499359965324402,4.16808557510376,0.2017729018656551,851
0.5499359965324402,4.172294616699219,0.2063588977270436,851
0.5499359965324402,4.176341533660889,0.2109448461940228,851
0.5499359965324402,4.180550575256348,0.2155306178075307,851
0.5497553944587708,4.184759616851807,0.2201157816719261,851
0.5499359965324402,4.188968658447266,0.2247010969293272,851
0.5499359965324402,4.193177700042725,0.2292862570260085,851
0.5495747923851013,4.1972246170043945,0.2338714881474439,851
0.5501165986061096,4.200138568878174,0.2363800963192224,851
0.0,4.090542316436768,0.2363800963192224,851
0.0,4.0780768394470215,0.2363800963192224,851
0.0,4.070306301116943,0.2363800963192224,851
0.0,4.064640522003174,0.2363800963192224,851
0.9570293426513672,4.199653148651123,0.2363836354538087,851
0.9060974717140198,4.199653148651123,0.2366405087578904,851
0.8557075262069702,4.199814796447754,0.2372393874159506,851
0.8053175210952759,4.199814796447754,0.2381247706585387,851
0.7552887797355652,4.199653148651123,0.2392880917251316,851
0.7052599787712097,4.199814796447754,0.2407722223257549,851
0.655231237411499,4.199814796447754,0.2426493678607597,851
0.6052024364471436,4.199653148651123,0.2451543809476559,851
0.5551736950874329,4.199653148651123,0.2487204168758401,851
0.5051448941230774,4.199491024017334,0.2545527698205063,851
0.4551161229610443,4.199653148651123,0.264275944078653,851
0.4050873517990112,4.199653148651123,0.2775871550363931,851
0.3550585806369781,4.199653148651123,0.2928671107097349,851
0.3048492074012756,4.199814796447754,0.3089782613782201,851
0.2548204362392425,4.199814796447754,0.3260593423052684,851
0.2047916799783706,4.199976921081543,0.3435760342241751,851
0.1547629088163375,4.199814796447754,0.3615836374976986,851
0.1047341376543045,4.199653148651123,0.3801584182017814,851
0.0547053664922714,4.199814796447754,0.4003236620504218,851
0.0498289167881011,4.199653148651123,0.4025076189927903,851
0.0,4.189130783081055,0.4025076189927903,851
0.0,4.187511920928955,0.4025076189927903,851
-1.9243103452026844e-05,4.187511920928955,0.4025076179909277,851
0.0003419754502829,4.187511920928955,0.4025082617381983,851
-1.099568486213684,3.9874210357666016,0.3995874935534793,851
-1.0993878841400146,3.921695232391357,0.3904196319642539,851
-1.0993878841400146,3.856779098510742,0.3812516515692854,851
-1.0993878841400146,3.791377305984497,0.3720837050795369,851
-1.099568486213684,3.73552680015564,0.3629158067691014,851
-1.0997490882873535,3.69165563583374,0.3537478931784577,851
-1.099568486213684,3.656688451766968,0.3445805332751455,851
-1.099568486213684,3.6277108192443848,0.3354133624550721,851
-1.099568486213684,3.602618455886841,0.3262459263270543,851
-1.099568486213684,3.580440282821656,0.3170779820342284,851
-1.0997490882873535,3.56020450592041,0.3079099167874748,851
-1.099568486213684,3.541911363601685,0.2987413830659342,851
-1.0993878841400146,3.5247514247894287,0.2895742136007158,851
-1.099568486213684,3.508563041687012,0.2804068946985065,851
-1.099568486213684,3.493669509887696,0.2712395365755586,851
-1.099568486213684,3.4795854091644287,0.2620723071662958,851
-1.0993878841400146,3.466148853302002,0.2529050687078102,851
-1.0993878841400146,3.453521728515625,0.2437378543762403,851
-1.0993878841400146,3.441218376159668,0.2345706508761749,851
-1.0993878841400146,3.42956280708313,0.2254034767368296,851
-1.099568486213684,3.4175832271575928,0.216236275091723,851
-1.099568486213684,3.4057655334472656,0.2070691152426693,851
-1.099568486213684,3.3945953845977783,0.1979019332437674,851
-1.099568486213684,3.382777690887451,0.1887346980462521,851
-1.099568486213684,3.370959997177124,0.1795675439611237,851
-1.0993878841400146,3.358656644821167,0.1704002860327635,851
-1.0993878841400146,3.346029758453369,0.1612329914754964,851
-1.0993878841400146,3.3325932025909424,0.1520657795131592,851
-1.099568486213684,3.318185329437256,0.1428985907044815,851
-1.099568486213684,3.3029680252075195,0.1337314072208224,851
-1.0997490882873535,3.2862937450408936,0.1245643024108256,851
-1.099568486213684,3.268648386001587,0.1153964574271411,851
-1.099568486213684,3.2498695850372314,0.1062299036572262,851
-1.0993878841400146,3.2293100357055664,0.0970628964731776,851
-1.099568486213684,3.206969738006592,0.0878956570364684,851
-1.0993878841400146,3.182363271713257,0.0787277827655623,851
-1.0993878841400146,3.154680728912353,0.0695612939919936,851
-1.099568486213684,3.123274803161621,0.0603941641674685,851
-1.0993878841400146,3.086688756942749,0.0512269472866124,851
-1.0993878841400146,3.045245885848999,0.0420597537445344,851
-1.099568486213684,2.9948995113372803,0.0328925749151407,851
-1.099568486213684,2.9320878982543945,0.0237254031622837,851
-1.0992072820663452,2.851954460144043,0.0145626879363645,851
-1.099568486213684,2.7507758140563965,0.0053957271141182,851
-1.0993878841400146,2.699943780899048,0.0011723215432972,851
0.0,3.736983776092529,0.0011723215432972,851
-1.9243103452026844e-05,3.7368218898773193,-1.0149170392992346e-09,851
0.0008838032954372,3.741678476333618,9.066687018943752e-07,851
