Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
10234,354912.2515768571,2010-11-20 14:20:45,30.015338768310126,1,32,0.0,3.33987808227539,30.456979380675183,30.487305580287064,121.5691169201638,111.20487095869764,0.0008094310760498,0.0925559401512146,0,0,0
10235,354942.2669524573,2010-11-20 14:21:15,60.03071436855844,1,32,0.0,3.363027572631836,30.456979380675183,30.487305580287064,121.5691169201638,111.20487095869764,0.0006151676061563,0.0925559401512146,0,0,0
10236,354972.2823448545,2010-11-20 14:21:45,90.04610676573446,1,32,0.0,3.3803493976593018,30.456979380675183,30.487305580287064,121.5691169201638,111.20487095869764,0.0003885269106831,0.0925559401512146,0,0,0
10237,355002.25081772835,2010-11-20 14:22:15,120.01457964457435,1,32,0.0,3.3944334983825684,30.456979380675183,30.487305580287064,121.5691169201638,111.20487095869764,0.0003237724304199,0.0925559401512146,0,0,0
10238,355032.2669854596,2010-11-20 14:22:46,30.01724769328053,2,32,0.550297200679779,3.557452440261841,30.461567324821367,30.487305580287064,121.585260303302,111.20487095869764,0.0017807483673095,0.0925559401512146,0,0,0
10239,355062.2804521249,2010-11-20 14:23:16,60.03071437357095,2,32,0.550297200679779,3.609903335571289,30.466154562783792,30.487305580287064,121.6017062886386,111.20487095869764,0.0011979580158367,0.0925559401512146,0,0,0
10240,355092.2958158054,2010-11-20 14:23:46,90.04607807411577,2,32,0.550297200679779,3.64875602722168,30.4707421758865,30.487305580287064,121.6183598103954,111.20487095869764,0.0009389400365762,0.0925559401512146,0,0,0
10241,355122.3111720573,2010-11-20 14:24:16,120.06143432105524,2,32,0.5504778623580933,3.679352283477783,30.47532978753553,30.487305580287064,121.63517110734315,111.20487095869764,0.0007770538213662,0.0925559401512146,0,0,0
10242,355152.3265827652,2010-11-20 14:24:46,150.07684503395015,2,32,0.550297200679779,3.704444646835327,30.479917338124345,30.487305580287064,121.6521095661288,111.20487095869764,0.0006151676061563,0.0925559401512146,0,0,0
10243,355182.3418873632,2010-11-20 14:25:16,180.09214962695344,2,32,0.5501165986061096,3.725651741027832,30.48450489625175,30.487305580287064,121.66915400049425,111.20487095869764,0.0005180359003134,0.0925559401512146,0,0,0
10244,355212.3572402819,2010-11-20 14:25:46,210.10750255059745,2,32,0.550297200679779,3.743135452270508,30.489092471111466,30.487305580287064,121.6862868205582,111.20487095869764,0.0004532813909463,0.0925559401512146,0,0,0
10245,355242.3726025789,2010-11-20 14:26:16,240.1228648426264,2,32,0.550297200679779,3.756247997283936,30.493680032884445,30.487305580287064,121.70349054869314,111.20487095869764,0.0002590179501567,0.0925559401512146,0,0,0
