Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Reset_Charge_Capacity,Reset_Discharge_Capacity,Capacity_Difference,Cumulative_Cycle_Index
30.01537640851044,1,17,0.0,3.761590242385864,6.481569984337584,6.832746466551849,26.74618743825995,23.231104460477177,0.0003561496851034,0.1206444054841995,8.704028608974568e-07,9.727596506081682e-11,8.70305584932396e-07,853
60.030234710740615,1,17,0.0,3.774379253387451,6.481569984337584,6.832746466551849,26.74618743825995,23.231104460477177,0.0003237724304199,0.1206444054841995,8.704028608974568e-07,9.727596506081682e-11,8.70305584932396e-07,853
90.0453423995188,1,17,0.0,3.783930540084839,6.481569984337584,6.832746466551849,26.74618743825995,23.231104460477177,0.0001942634553415,0.1206444054841995,8.704028608974568e-07,9.727596506081682e-11,8.70305584932396e-07,853
120.0138421269163,1,17,0.0,3.791539192199707,6.481569984337584,6.832746466551849,26.74618743825995,23.231104460477177,0.0001618862152099,0.1206444054841995,8.704028608974568e-07,9.727596506081682e-11,8.70305584932396e-07,853
30.015116966902127,2,17,0.5501165986061096,3.913762807846069,6.486156039425124,6.832746466551849,26.764054501419057,23.231104460477177,0.0007446288946084,0.1206444054841995,0.0045869254904005,9.727596506081682e-11,0.0045869253931245,853
60.03024687104784,2,17,0.5501165986061096,3.9343223571777344,6.490742123562564,6.832746466551849,26.78205378980219,23.231104460477177,0.0004532813909463,0.1206444054841995,0.0091730096278404,9.727596506081682e-11,0.0091730095305644,853
90.04534997339523,2,17,0.5501165986061096,3.949054002761841,6.495328453209972,6.832746466551849,26.800133090911245,23.231104460477177,0.0003561496851034,0.1206444054841995,0.013759339275249,9.727596506081682e-11,0.0137593391779731,853
120.06043868487616,2,17,0.5501165986061096,3.961195468902588,6.499914934427006,6.832746466551849,26.818274157493125,23.231104460477177,0.0002913951757363,0.1206444054841995,0.018345820492283,9.727596506081682e-11,0.018345820395007,853
150.07559891961503,2,17,0.5501165986061096,3.972203731536865,6.504500847204366,6.832746466551849,26.836465528825,23.231104460477177,0.0002913951757363,0.1206444054841995,0.022931733269643,9.727596506081682e-11,0.022931733172367,853
180.09072578619018,2,17,0.5499359965324402,3.981916904449463,6.509086252896377,6.832746466551849,26.85470220665071,23.231104460477177,0.0002266406954731,0.1206444054841995,0.0275171389616533,9.727596506081682e-11,0.0275171388643773,853
210.10583685338844,2,17,0.5501165986061096,3.991144418716431,6.513671372106903,6.832746466551849,26.872981316828177,23.231104460477177,0.0002590179501567,0.1206444054841995,0.0321022581721797,9.727596506081682e-11,0.0321022580749037,853
240.1209394344366,2,17,0.5499359965324402,3.9995622634887695,6.518256517103241,6.832746466551849,26.89130073155928,23.231104460477177,0.0002266406954731,0.1206444054841995,0.0366874031685178,9.727596506081682e-11,0.0366874030712418,853
270.1360566419384,2,17,0.5499359965324402,4.007494926452637,6.522841685275564,6.832746466551849,26.909657755693058,23.231104460477177,0.0001942634553415,0.1206444054841995,0.0412725713408406,9.727596506081682e-11,0.0412725712435646,853
300.15118676162126,2,17,0.5501165986061096,4.014941692352295,6.527427223699201,6.832746466551849,26.928051303690744,23.231104460477177,0.0001942634553415,0.1206444054841995,0.0458581097644774,9.727596506081682e-11,0.0458581096672014,853
330.1663177183904,2,17,0.5499359965324402,4.021902561187744,6.532013257698947,6.832746466551849,26.946479714211907,23.231104460477177,0.0002265930233988,0.1206444054841995,0.0504441437642233,9.727596506081682e-11,0.0504441436669473,853
360.18132147814555,2,17,0.5499359965324402,4.028378009796143,6.53659924968383,6.832746466551849,26.96493902935409,23.231104460477177,0.0001618385285837,0.1206444054841995,0.0550301357491065,9.727596506081682e-11,0.0550301356518305,853
390.1965057427743,2,17,0.5497553944587708,4.034691333770752,6.54118459893474,6.832746466551849,26.98342484018482,23.231104460477177,0.000194168096641,0.1206444054841995,0.059615485000017,9.727596506081682e-11,0.059615484902741,853
420.2136456665074,2,17,0.5499359965324402,4.0406813621521,6.545769997369458,6.832746466551849,27.00193848637663,23.231104460477177,0.0001942634553415,0.1206444054841995,0.0642008834347347,9.727596506081682e-11,0.0642008833374587,853
450.2269320259724,2,17,0.5499359965324402,4.046185493469238,6.550354924182734,6.832746466551849,27.02047663850171,23.231104460477177,0.0001942634553415,0.1206444054841995,0.068785810248011,9.727596506081682e-11,0.068785810150735,853
480.2419028536506,2,17,0.5501165986061096,4.051527500152588,6.554940143504025,6.832746466551849,27.0390412596207,23.231104460477177,0.0001295089750783,0.1206444054841995,0.0733710295693015,9.727596506081682e-11,0.0733710294720255,853
510.2570311888862,2,17,0.5501165986061096,4.056869983673096,6.559525934536382,6.832746466551849,27.057632653101347,23.231104460477177,0.0001619339018361,0.1206444054841995,0.0779568206016589,9.727596506081682e-11,0.077956820504383,853
540.2721948571825,2,17,0.5501165986061096,4.0617265701293945,6.564111968310963,6.832746466551849,27.07624854200005,23.231104460477177,0.0001619339018361,0.1206444054841995,0.0825428543762401,9.727596506081682e-11,0.0825428542789641,853
570.2872983053919,2,17,0.5501165986061096,4.066744804382324,6.568697948908555,6.832746466551849,27.09488667179909,23.231104460477177,0.0001618385285837,0.1206444054841995,0.0871288349738312,9.727596506081682e-11,0.0871288348765553,853
600.3024992064838,2,17,0.5499359965324402,4.071115970611572,6.573283862896762,6.832746466551849,27.113546490881696,23.231104460477177,6.47544875391759e-05,0.1206444054841995,0.0917147489620386,9.727596506081682e-11,0.0917147488647627,853
630.3175010264043,2,17,0.5501165986061096,4.075972557067871,6.577869804886005,6.832746466551849,27.132227632156685,23.231104460477177,0.0001295089750783,0.1206444054841995,0.0963006909512813,9.727596506081682e-11,0.0963006908540053,853
660.3328562170333,2,17,0.5501165986061096,4.080343246459961,6.582455788038583,6.832746466551849,27.150929874959807,23.231104460477177,0.0001295089750783,0.1206444054841995,0.1008866741038598,9.727596506081682e-11,0.1008866740065839,853
