Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Reset_Charge_Capacity,Reset_Discharge_Capacity,Capacity_Difference,Cumulative_Cycle_Index
2010-09-05 14:00:58,30.01515994401431,1,37,0.0,3.465177536010742,37.928296614848456,37.91157227953544,150.94871090649383,138.7808012697552,0.0006475448608398,0.0873680263757705,9.021750102533588e-07,1.6699175375833875e-10,9.020080184996004e-07,87
2010-09-05 14:01:28,60.03035509577717,1,37,0.0,3.485898971557617,37.928296614848456,37.91157227953544,150.94871090649383,138.7808012697552,0.0004532813909463,0.0873680263757705,9.021750102533588e-07,1.6699175375833875e-10,9.020080184996004e-07,87
2010-09-05 14:01:58,90.04550670902866,1,37,0.0,3.500630617141724,37.928296614848456,37.91157227953544,150.94871090649383,138.7808012697552,0.0003561496851034,0.0873680263757705,9.021750102533588e-07,1.6699175375833875e-10,9.020080184996004e-07,87
2010-09-05 14:02:28,120.01379807713067,1,37,0.0,3.511800527572632,37.928296614848456,37.91157227953544,150.94871090649383,138.7808012697552,0.0002265930233988,0.0873680263757705,9.021750102533588e-07,1.6699175375833875e-10,9.020080184996004e-07,87
2010-09-05 14:02:58,30.015187658086305,2,37,0.5501165986061096,3.638395309448242,37.93288322589745,37.91157227953544,150.9652754583796,138.7808012697552,0.0012303352123126,0.0873680263757705,0.0045875132240027,1.6699175375833875e-10,0.0045875130570109,87
2010-09-05 14:03:28,60.03035068979611,2,37,0.5501165986061096,3.6746575832366943,37.93746974198071,37.91157227953544,150.98205126255925,138.7808012697552,0.0008093834039755,0.0873680263757705,0.0091740293072675,1.6699175375833875e-10,0.0091740291402757,87
2010-09-05 14:03:58,90.04559414193838,2,37,0.550297200679779,3.701530694961548,37.94205632036676,37.91157227953544,150.99896940950555,138.7808012697552,0.0006799221155233,0.0873680263757705,0.0137606076933138,1.6699175375833875e-10,0.0137606075263221,87
2010-09-05 14:04:28,120.0608450727197,2,37,0.5501165986061096,3.7225759029388414,37.94664286021988,37.91157227953544,151.0159964000532,138.7808012697552,0.0005180359003134,0.0873680263757705,0.0183471475464358,1.6699175375833875e-10,0.018347147379444,87
2010-09-05 14:04:58,150.07597686156268,2,37,0.5499359965324402,3.738926410675049,37.95122937876357,37.91157227953544,151.03310934805089,138.7808012697552,0.0003561496851034,0.0873680263757705,0.0229336660901253,1.6699175375833875e-10,0.0229336659231336,87
2010-09-05 14:05:28,180.0910390820198,2,37,0.5501165986061096,3.751067876815796,37.9558159018651,37.91157227953544,151.05028788560375,138.7808012697552,0.0002590179501567,0.0873680263757705,0.0275201891916552,1.6699175375833875e-10,0.0275201890246634,87
